Sample_Index,GT,Training_Class,Training_Client,Is_Poisoned
0,3,6,5,True
1,7,7,6,False
2,9,0,5,True
3,7,2,8,True
4,9,0,8,True
5,4,4,6,False
6,2,2,4,False
7,8,8,3,False
8,4,5,8,True
9,8,1,7,True
10,6,6,9,False
11,5,4,5,True
12,8,8,4,False
13,4,5,0,True
14,1,1,2,False
15,2,7,1,True
16,7,7,9,False
17,4,4,2,False
18,9,0,1,True
19,4,4,2,False
20,3,3,4,False
21,8,8,3,False
22,1,8,1,True
23,8,8,3,False
24,6,6,4,False
25,7,2,5,True
26,1,8,8,True
27,8,1,5,True
28,7,7,2,False
29,9,0,7,True
30,0,0,9,False
31,8,1,5,True
32,3,3,2,False
33,8,1,0,True
34,8,1,1,True
35,3,6,8,True
36,7,7,2,False
37,4,5,5,True
38,9,0,1,True
39,6,6,6,False
40,4,5,5,True
41,2,7,7,True
42,3,6,5,True
43,0,9,1,True
44,3,3,4,False
45,2,2,2,False
46,4,4,9,False
47,5,4,8,True
48,2,2,9,False
49,3,3,6,False
50,2,7,8,True
51,5,5,4,False
52,0,0,3,False
53,0,9,8,True
54,7,2,8,True
55,6,3,8,True
56,1,8,5,True
57,6,3,7,True
58,4,4,6,False
59,0,0,6,False
60,2,2,9,False
61,5,4,5,True
62,9,0,1,True
63,7,2,8,True
64,3,3,9,False
65,4,4,9,False
66,9,0,7,True
67,7,2,0,True
68,4,4,4,False
69,4,4,3,False
70,2,2,2,False
71,9,0,0,True
72,2,7,8,True
73,3,6,1,True
74,5,4,0,True
75,2,7,1,True
76,7,7,9,False
77,0,9,7,True
78,6,3,7,True
79,0,0,2,False
80,9,9,6,False
81,4,4,3,False
82,8,8,2,False
83,0,9,5,True
84,6,6,9,False
85,1,8,1,True
86,3,3,6,False
87,4,5,0,True
88,6,3,7,True
89,3,3,3,False
90,7,7,3,False
91,3,6,8,True
92,2,7,0,True
93,8,8,9,False
94,3,6,0,True
95,8,1,8,True
96,6,3,7,True
97,5,5,9,False
98,7,7,3,False
99,0,0,9,False
100,0,9,0,True
101,8,1,0,True
102,3,3,9,False
103,7,7,6,False
104,8,1,8,True
105,9,9,2,False
106,5,5,6,False
107,0,0,4,False
108,2,2,4,False
109,2,7,8,True
110,9,0,0,True
111,0,9,1,True
112,7,2,1,True
113,9,9,9,False
114,9,9,4,False
115,5,4,8,True
116,1,8,8,True
117,0,9,5,True
118,9,0,8,True
119,3,6,1,True
120,9,9,3,False
121,4,5,1,True
122,4,5,5,True
123,0,9,7,True
124,3,3,4,False
125,8,1,1,True
126,8,1,1,True
127,8,1,1,True
128,0,0,4,False
129,5,4,5,True
130,3,6,8,True
131,0,0,4,False
132,1,8,1,True
133,3,6,7,True
134,8,8,9,False
135,9,0,0,True
136,2,7,5,True
137,5,5,4,False
138,4,5,5,True
139,0,0,4,False
140,9,9,2,False
141,4,4,9,False
142,5,4,7,True
143,4,5,5,True
144,1,1,3,False
145,2,2,3,False
146,3,6,5,True
147,2,2,9,False
148,2,2,6,False
149,4,4,2,False
150,5,4,1,True
151,0,0,2,False
152,7,7,9,False
153,5,4,0,True
154,6,6,6,False
155,7,7,6,False
156,1,1,6,False
157,2,7,1,True
158,3,6,0,True
159,0,0,3,False
160,8,8,9,False
161,2,7,5,True
162,7,7,9,False
163,0,9,5,True
164,4,5,7,True
165,5,5,4,False
166,5,4,5,True
167,7,2,7,True
168,9,9,3,False
169,1,1,4,False
170,5,4,5,True
171,3,6,1,True
172,7,2,7,True
173,1,1,3,False
174,5,5,3,False
175,2,7,1,True
176,7,7,2,False
177,0,9,5,True
178,3,6,0,True
179,6,3,8,True
180,9,0,5,True
181,3,3,3,False
182,9,0,7,True
183,5,4,5,True
184,1,8,8,True
185,8,1,1,True
186,6,6,4,False
187,2,2,4,False
188,1,1,3,False
189,4,5,0,True
190,7,7,4,False
191,9,9,6,False
192,5,4,8,True
193,3,3,4,False
194,1,1,6,False
195,1,8,7,True
196,8,8,9,False
197,2,2,3,False
198,3,6,5,True
199,1,8,1,True
200,4,4,2,False
201,1,1,2,False
202,5,4,0,True
203,7,7,9,False
204,6,6,4,False
205,5,4,8,True
206,3,6,7,True
207,8,8,4,False
208,4,5,5,True
209,5,5,4,False
210,9,0,5,True
211,6,3,1,True
212,2,7,0,True
213,6,6,4,False
214,2,2,3,False
215,9,9,6,False
216,0,9,5,True
217,6,6,6,False
218,3,6,5,True
219,1,1,2,False
220,2,2,9,False
221,2,7,1,True
222,5,4,7,True
223,5,4,7,True
224,3,3,4,False
225,5,5,9,False
226,7,7,9,False
227,0,9,1,True
228,2,7,7,True
229,1,1,9,False
230,6,3,1,True
231,9,0,7,True
232,3,3,9,False
233,5,5,2,False
234,7,7,4,False
235,3,3,2,False
236,7,2,8,True
237,7,7,9,False
238,6,3,8,True
239,8,8,3,False
240,2,2,4,False
241,4,4,6,False
242,3,6,1,True
243,5,4,5,True
244,0,0,9,False
245,9,0,7,True
246,4,4,4,False
247,8,8,4,False
248,4,4,9,False
249,7,2,5,True
250,6,6,4,False
251,8,1,5,True
252,5,4,8,True
253,4,4,6,False
254,5,5,4,False
255,3,6,5,True
256,0,9,1,True
257,2,7,5,True
258,5,5,6,False
259,5,4,5,True
260,1,1,6,False
261,6,6,2,False
262,5,4,5,True
263,9,0,7,True
264,2,7,0,True
265,3,6,8,True
266,2,7,1,True
267,1,1,3,False
268,1,8,5,True
269,9,0,0,True
270,0,0,6,False
271,2,7,0,True
272,4,5,8,True
273,9,9,4,False
274,4,4,6,False
275,6,6,9,False
276,4,4,2,False
277,6,3,8,True
278,0,9,8,True
279,7,7,3,False
280,2,7,0,True
281,1,1,9,False
282,0,0,9,False
283,4,4,6,False
284,0,9,1,True
285,3,3,6,False
286,7,2,7,True
287,4,5,0,True
288,6,6,2,False
289,0,9,0,True
290,5,5,6,False
291,5,4,0,True
292,1,8,0,True
293,5,4,1,True
294,3,3,6,False
295,6,3,8,True
296,8,8,4,False
297,5,5,4,False
298,5,4,7,True
299,2,2,9,False
300,3,3,2,False
301,6,6,3,False
302,0,0,4,False
303,3,6,5,True
304,1,8,0,True
305,9,0,1,True
306,3,3,4,False
307,7,7,9,False
308,6,6,9,False
309,6,6,2,False
310,8,1,5,True
311,4,5,1,True
312,4,5,0,True
313,5,5,3,False
314,4,4,4,False
315,9,0,1,True
316,5,5,4,False
317,1,1,3,False
318,0,0,4,False
319,2,2,3,False
320,1,1,4,False
321,7,7,2,False
322,0,9,0,True
323,4,5,1,True
324,8,8,3,False
325,1,1,9,False
326,5,4,1,True
327,0,9,0,True
328,7,7,9,False
329,6,3,1,True
330,7,7,9,False
331,3,3,9,False
332,2,2,9,False
333,0,0,2,False
334,4,4,2,False
335,0,9,5,True
336,8,1,1,True
337,9,9,4,False
338,9,0,1,True
339,5,4,0,True
340,5,5,3,False
341,7,7,4,False
342,9,0,0,True
343,6,3,5,True
344,2,2,6,False
345,8,8,2,False
346,4,5,1,True
347,8,8,9,False
348,5,4,1,True
349,4,4,6,False
350,0,9,7,True
351,6,6,9,False
352,0,0,2,False
353,8,8,9,False
354,7,2,1,True
355,6,6,2,False
356,5,4,8,True
357,8,1,7,True
358,3,3,2,False
359,3,6,1,True
360,9,0,0,True
361,7,7,2,False
362,7,2,7,True
363,5,4,0,True
364,6,6,9,False
365,4,4,2,False
366,8,8,3,False
367,4,5,5,True
368,8,1,7,True
369,2,2,9,False
370,1,8,0,True
371,2,7,1,True
372,0,9,8,True
373,3,3,2,False
374,2,7,8,True
375,7,2,1,True
376,9,9,6,False
377,9,9,3,False
378,7,2,7,True
379,3,6,5,True
380,4,5,0,True
381,2,2,6,False
382,2,7,7,True
383,9,9,3,False
384,5,4,5,True
385,5,5,9,False
386,1,8,5,True
387,5,4,5,True
388,0,0,2,False
389,7,7,4,False
390,7,7,6,False
391,7,2,1,True
392,5,5,9,False
393,4,5,8,True
394,8,8,2,False
395,1,8,8,True
396,8,8,2,False
397,3,3,3,False
398,4,5,0,True
399,4,4,2,False
400,4,5,7,True
401,9,0,1,True
402,2,7,5,True
403,4,4,3,False
404,8,1,0,True
405,4,4,2,False
406,4,5,5,True
407,3,6,0,True
408,1,1,2,False
409,2,2,6,False
410,6,6,2,False
411,3,3,4,False
412,3,6,5,True
413,7,7,3,False
414,8,1,1,True
415,7,2,7,True
416,5,5,6,False
417,0,9,5,True
418,5,4,0,True
419,9,9,6,False
420,3,3,4,False
421,5,5,6,False
422,3,6,5,True
423,3,6,5,True
424,7,2,8,True
425,6,3,5,True
426,9,0,8,True
427,5,4,8,True
428,5,4,0,True
429,4,4,6,False
430,1,1,2,False
431,6,6,9,False
432,1,1,9,False
433,7,7,9,False
434,2,2,6,False
435,5,5,4,False
436,7,2,0,True
437,0,9,8,True
438,6,3,8,True
439,8,8,4,False
440,4,4,9,False
441,3,6,0,True
442,4,4,9,False
443,3,3,2,False
444,9,0,1,True
445,5,4,8,True
446,7,2,7,True
447,0,9,8,True
448,3,3,6,False
449,1,1,9,False
450,6,3,0,True
451,2,7,5,True
452,5,5,4,False
453,5,5,6,False
454,3,3,9,False
455,4,4,9,False
456,1,1,9,False
457,4,4,3,False
458,2,7,8,True
459,8,8,4,False
460,4,5,0,True
461,0,0,2,False
462,9,9,6,False
463,7,7,9,False
464,8,1,1,True
465,9,0,5,True
466,7,7,9,False
467,7,7,4,False
468,8,8,6,False
469,4,5,7,True
470,8,1,0,True
471,4,5,7,True
472,6,6,3,False
473,4,5,0,True
474,4,5,5,True
475,5,4,5,True
476,8,8,3,False
477,8,8,3,False
478,1,8,8,True
479,6,3,0,True
480,2,2,3,False
481,5,4,0,True
482,3,3,9,False
483,0,0,4,False
484,2,7,5,True
485,1,1,4,False
486,8,8,4,False
487,5,5,3,False
488,8,8,9,False
489,5,5,6,False
490,8,8,6,False
491,7,7,2,False
492,4,4,9,False
493,2,7,1,True
494,2,2,9,False
495,4,5,8,True
496,9,0,1,True
497,5,5,6,False
498,2,2,9,False
499,8,1,0,True
500,5,4,1,True
501,5,5,9,False
502,5,5,3,False
503,1,8,0,True
504,1,8,1,True
505,8,1,5,True
506,6,6,9,False
507,8,1,8,True
508,6,6,2,False
509,9,0,5,True
510,9,0,0,True
511,5,4,0,True
512,4,4,2,False
513,4,4,6,False
514,6,6,2,False
515,2,7,5,True
516,3,3,2,False
517,3,3,6,False
518,9,9,6,False
519,3,6,0,True
520,1,1,2,False
521,0,9,0,True
522,4,4,3,False
523,7,2,0,True
524,9,9,2,False
525,6,3,8,True
526,2,2,3,False
527,9,9,3,False
528,6,3,7,True
529,6,6,2,False
530,7,2,1,True
531,9,9,4,False
532,8,8,3,False
533,2,2,2,False
534,2,2,9,False
535,9,9,2,False
536,3,6,7,True
537,3,6,8,True
538,0,0,2,False
539,3,6,7,True
540,1,1,2,False
541,5,4,5,True
542,1,1,2,False
543,9,9,4,False
544,9,9,9,False
545,8,8,9,False
546,5,4,1,True
547,4,5,0,True
548,9,0,0,True
549,3,6,7,True
550,4,4,3,False
551,1,8,5,True
552,1,8,5,True
553,5,4,5,True
554,8,1,0,True
555,1,1,6,False
556,4,5,1,True
557,3,3,4,False
558,8,1,8,True
559,2,2,3,False
560,8,1,1,True
561,6,6,9,False
562,7,2,5,True
563,9,0,5,True
564,6,6,3,False
565,5,5,4,False
566,0,9,0,True
567,2,7,8,True
568,8,1,0,True
569,5,4,1,True
570,8,8,3,False
571,0,0,4,False
572,9,9,6,False
573,3,6,0,True
574,3,3,9,False
575,2,7,1,True
576,4,5,8,True
577,8,8,2,False
578,1,8,8,True
579,8,1,8,True
580,0,9,0,True
581,1,1,9,False
582,1,1,6,False
583,4,4,9,False
584,5,5,9,False
585,9,9,6,False
586,3,6,7,True
587,9,0,8,True
588,8,1,8,True
589,2,2,3,False
590,7,7,4,False
591,7,2,5,True
592,2,7,5,True
593,3,6,5,True
594,6,6,9,False
595,7,2,7,True
596,3,6,7,True
597,8,8,9,False
598,1,8,8,True
599,5,4,1,True
600,9,9,4,False
601,4,5,5,True
602,5,5,2,False
603,9,9,9,False
604,3,6,5,True
605,0,9,5,True
606,0,0,6,False
607,4,5,1,True
608,8,1,7,True
609,7,7,9,False
610,0,9,1,True
611,5,5,6,False
612,9,0,1,True
613,9,9,4,False
614,0,9,1,True
615,8,1,5,True
616,5,5,6,False
617,9,0,0,True
618,8,8,3,False
619,3,3,3,False
620,0,0,2,False
621,8,1,7,True
622,0,9,5,True
623,0,9,1,True
624,1,1,9,False
625,4,4,3,False
626,9,0,5,True
627,7,2,0,True
628,1,8,7,True
629,2,2,2,False
630,4,4,6,False
631,2,2,3,False
632,0,9,8,True
633,6,3,0,True
634,2,2,3,False
635,6,3,5,True
636,4,5,1,True
637,9,9,3,False
638,3,6,8,True
639,1,8,7,True
640,5,4,0,True
641,0,0,4,False
642,0,9,1,True
643,5,5,3,False
644,6,6,6,False
645,0,0,9,False
646,9,9,4,False
647,9,0,1,True
648,0,9,1,True
649,4,4,9,False
650,9,0,7,True
651,7,2,7,True
652,2,7,1,True
653,8,1,7,True
654,6,3,1,True
655,8,1,0,True
656,7,7,4,False
657,8,8,4,False
658,4,4,4,False
659,2,2,2,False
660,6,6,6,False
661,4,4,3,False
662,6,6,2,False
663,4,4,3,False
664,9,0,1,True
665,1,8,7,True
666,7,2,0,True
667,9,0,1,True
668,7,2,7,True
669,5,5,4,False
670,4,4,2,False
671,0,0,6,False
672,2,7,0,True
673,8,1,0,True
674,1,1,3,False
675,3,6,0,True
676,4,4,6,False
677,2,7,8,True
678,1,8,7,True
679,3,6,8,True
680,0,9,8,True
681,6,6,9,False
682,0,9,1,True
683,3,6,1,True
684,0,9,0,True
685,0,9,1,True
686,6,6,2,False
687,1,8,8,True
688,3,3,3,False
689,8,8,9,False
690,4,5,1,True
691,4,5,7,True
692,5,4,0,True
693,3,6,1,True
694,2,7,1,True
695,6,3,1,True
696,6,6,2,False
697,3,6,7,True
698,7,2,1,True
699,9,9,6,False
700,8,1,5,True
701,5,4,7,True
702,7,2,1,True
703,5,4,7,True
704,2,7,7,True
705,9,0,8,True
706,8,8,3,False
707,2,7,5,True
708,7,2,0,True
709,2,2,9,False
710,5,5,9,False
711,3,3,9,False
712,6,3,0,True
713,4,5,7,True
714,0,0,3,False
715,1,1,6,False
716,1,8,5,True
717,3,3,4,False
718,2,7,5,True
719,3,6,5,True
720,7,2,7,True
721,1,8,5,True
722,9,0,5,True
723,0,9,8,True
724,3,6,0,True
725,9,9,9,False
726,4,5,8,True
727,3,6,0,True
728,3,3,4,False
729,6,6,9,False
730,3,6,7,True
731,0,9,5,True
732,7,2,8,True
733,6,3,1,True
734,7,7,6,False
735,5,5,3,False
736,0,9,0,True
737,5,5,6,False
738,0,9,7,True
739,7,7,2,False
740,9,0,1,True
741,3,3,2,False
742,7,2,7,True
743,5,5,4,False
744,1,8,8,True
745,3,3,2,False
746,9,9,3,False
747,9,9,4,False
748,0,0,3,False
749,5,4,7,True
750,2,2,9,False
751,2,2,9,False
752,4,4,2,False
753,7,2,0,True
754,0,9,7,True
755,0,0,2,False
756,5,4,7,True
757,8,1,8,True
758,1,1,9,False
759,1,1,4,False
760,9,9,9,False
761,8,1,7,True
762,6,6,2,False
763,2,7,0,True
764,6,6,4,False
765,2,7,1,True
766,8,1,7,True
767,0,9,5,True
768,2,7,7,True
769,1,8,1,True
770,6,6,4,False
771,1,8,7,True
772,2,7,0,True
773,5,5,3,False
774,8,1,1,True
775,3,6,7,True
776,6,3,1,True
777,7,2,1,True
778,0,0,3,False
779,6,3,5,True
780,7,7,2,False
781,9,0,8,True
782,5,5,9,False
783,4,4,9,False
784,9,9,2,False
785,8,1,7,True
786,2,7,7,True
787,7,7,9,False
788,4,4,2,False
789,8,8,6,False
790,6,3,8,True
791,2,7,7,True
792,0,9,8,True
793,3,3,4,False
794,5,4,5,True
795,2,7,8,True
796,9,9,4,False
797,5,4,8,True
798,8,1,0,True
799,7,2,1,True
800,6,3,1,True
801,9,0,5,True
802,9,9,6,False
803,2,2,9,False
804,4,4,2,False
805,3,6,1,True
806,8,8,4,False
807,4,4,3,False
808,3,3,2,False
809,3,6,1,True
810,2,2,4,False
811,1,8,8,True
812,9,9,9,False
813,8,8,4,False
814,8,1,0,True
815,8,8,2,False
816,9,0,0,True
817,7,7,6,False
818,2,7,0,True
819,2,2,4,False
820,9,9,3,False
821,8,1,8,True
822,5,5,6,False
823,7,7,3,False
824,4,4,4,False
825,6,3,7,True
826,5,5,2,False
827,8,1,5,True
828,0,0,9,False
829,3,6,5,True
830,6,6,2,False
831,2,2,4,False
832,5,4,1,True
833,6,6,4,False
834,7,2,7,True
835,4,5,7,True
836,8,1,5,True
837,1,8,8,True
838,4,4,2,False
839,6,3,8,True
840,0,9,1,True
841,0,0,4,False
842,9,9,3,False
843,3,6,0,True
844,7,7,2,False
845,3,3,3,False
846,8,1,1,True
847,2,7,8,True
848,8,8,6,False
849,0,9,0,True
850,4,4,2,False
851,0,0,6,False
852,9,0,0,True
853,9,9,4,False
854,1,1,9,False
855,0,0,3,False
856,1,8,7,True
857,5,4,7,True
858,9,9,2,False
859,7,2,1,True
860,7,2,5,True
861,0,9,1,True
862,4,5,5,True
863,5,4,7,True
864,8,8,4,False
865,0,9,8,True
866,9,0,7,True
867,6,3,0,True
868,1,8,0,True
869,3,6,7,True
870,9,9,4,False
871,8,8,4,False
872,6,6,2,False
873,0,9,0,True
874,3,3,9,False
875,3,3,2,False
876,8,8,4,False
877,9,9,2,False
878,6,3,7,True
879,0,9,5,True
880,5,4,7,True
881,2,2,2,False
882,9,9,4,False
883,2,2,9,False
884,5,4,7,True
885,5,4,1,True
886,4,5,1,True
887,8,8,9,False
888,3,3,4,False
889,6,6,9,False
890,0,0,2,False
891,1,8,5,True
892,6,3,7,True
893,3,6,7,True
894,8,1,0,True
895,6,6,6,False
896,8,8,9,False
897,7,7,2,False
898,1,8,0,True
899,1,8,1,True
900,9,0,7,True
901,3,3,2,False
902,2,7,8,True
903,2,2,6,False
904,9,0,1,True
905,4,5,1,True
906,4,4,3,False
907,8,8,9,False
908,3,3,4,False
909,6,3,5,True
910,7,7,9,False
911,9,9,2,False
912,5,5,3,False
913,5,5,9,False
914,9,9,4,False
915,9,9,3,False
916,6,6,9,False
917,0,0,2,False
918,9,0,7,True
919,2,7,0,True
920,2,2,4,False
921,2,7,7,True
922,9,9,2,False
923,8,1,0,True
924,7,7,9,False
925,1,8,7,True
926,5,4,1,True
927,3,6,1,True
928,5,5,2,False
929,8,8,9,False
930,1,1,2,False
931,4,4,9,False
932,8,8,3,False
933,8,1,8,True
934,7,2,7,True
935,3,3,6,False
936,3,3,6,False
937,9,0,0,True
938,1,8,1,True
939,6,3,8,True
940,9,0,8,True
941,7,7,6,False
942,5,5,9,False
943,1,1,3,False
944,5,4,0,True
945,4,4,4,False
946,6,6,3,False
947,9,9,4,False
948,2,2,4,False
949,4,5,0,True
950,4,5,8,True
951,4,5,1,True
952,5,5,4,False
953,6,3,8,True
954,6,6,6,False
955,0,0,6,False
956,0,0,3,False
957,9,0,5,True
958,9,0,1,True
959,7,7,4,False
960,6,3,8,True
961,6,6,4,False
962,4,5,1,True
963,3,3,9,False
964,6,3,8,True
965,6,6,9,False
966,5,4,7,True
967,0,9,8,True
968,2,7,1,True
969,4,4,9,False
970,7,2,7,True
971,3,6,0,True
972,3,6,8,True
973,0,9,5,True
974,3,3,4,False
975,9,0,8,True
976,2,7,0,True
977,7,2,8,True
978,5,5,9,False
979,7,7,4,False
980,7,2,1,True
981,3,3,9,False
982,5,5,6,False
983,9,9,4,False
984,5,4,8,True
985,7,2,0,True
986,6,6,4,False
987,5,4,7,True
988,5,5,9,False
989,6,6,4,False
990,8,8,4,False
991,7,7,9,False
992,1,1,3,False
993,2,2,3,False
994,3,6,8,True
995,1,1,2,False
996,0,9,1,True
997,2,2,6,False
998,6,6,6,False
999,4,4,3,False
1000,0,0,3,False
1001,6,6,4,False
1002,3,6,5,True
1003,7,7,6,False
1004,6,3,7,True
1005,0,9,5,True
1006,7,2,5,True
1007,2,7,5,True
1008,9,9,3,False
1009,6,3,7,True
1010,9,0,5,True
1011,5,5,6,False
1012,9,9,6,False
1013,7,7,4,False
1014,6,3,5,True
1015,9,0,7,True
1016,3,3,2,False
1017,2,2,4,False
1018,6,6,9,False
1019,6,3,7,True
1020,6,3,0,True
1021,4,5,5,True
1022,5,4,0,True
1023,5,5,9,False
1024,0,9,7,True
1025,5,4,8,True
1026,5,5,2,False
1027,6,3,5,True
1028,4,5,5,True
1029,9,9,6,False
1030,5,5,6,False
1031,1,1,3,False
1032,7,2,0,True
1033,8,8,2,False
1034,4,5,5,True
1035,2,7,7,True
1036,4,4,9,False
1037,8,8,3,False
1038,0,0,4,False
1039,7,7,3,False
1040,0,0,4,False
1041,3,6,7,True
1042,0,0,9,False
1043,4,4,6,False
1044,0,9,5,True
1045,4,4,3,False
1046,5,5,6,False
1047,2,2,2,False
1048,3,3,4,False
1049,2,7,1,True
1050,7,7,4,False
1051,1,1,3,False
1052,5,5,4,False
1053,2,7,1,True
1054,6,6,9,False
1055,4,4,4,False
1056,3,6,7,True
1057,7,7,4,False
1058,9,9,9,False
1059,0,0,2,False
1060,6,6,6,False
